Compound,Date,Negative,Neutral,Positive,Screen_Name
0.4019,Sun Jul 08 21:07:05 +0000 2018,0.0,0.787,0.213,BBC
-0.6908,Sun Jul 08 20:52:12 +0000 2018,0.207,0.793,0.0,BBC
0.0,Sun Jul 08 20:05:00 +0000 2018,0.0,1.0,0.0,BBC
0.0,Sun Jul 08 19:04:02 +0000 2018,0.0,1.0,0.0,BBC
-0.6908,Sun Jul 08 18:04:02 +0000 2018,0.439,0.561,0.0,BBC
0.5106,Sun Jul 08 17:32:05 +0000 2018,0.0,0.864,0.136,BBC
0.5994,Sun Jul 08 17:02:03 +0000 2018,0.0,0.794,0.206,BBC
0.0,Sun Jul 08 16:03:04 +0000 2018,0.0,1.0,0.0,BBC
0.0,Sun Jul 08 15:02:07 +0000 2018,0.0,1.0,0.0,BBC
-0.0258,Sun Jul 08 14:59:01 +0000 2018,0.114,0.774,0.111,BBC
0.0,Sun Jul 08 14:02:01 +0000 2018,0.0,1.0,0.0,BBC
0.4215,Sun Jul 08 13:08:43 +0000 2018,0.0,0.741,0.259,BBC
0.5574,Sun Jul 08 13:03:02 +0000 2018,0.0,0.714,0.286,BBC
0.5859,Sun Jul 08 12:06:07 +0000 2018,0.0,0.725,0.275,BBC
-0.2732,Sun Jul 08 11:03:07 +0000 2018,0.095,0.905,0.0,BBC
0.0,Sun Jul 08 10:02:04 +0000 2018,0.0,1.0,0.0,BBC
-0.25,Sun Jul 08 09:03:05 +0000 2018,0.123,0.794,0.083,BBC
-0.1531,Sun Jul 08 08:12:23 +0000 2018,0.085,0.853,0.062,BBC
0.765,Sun Jul 08 08:12:10 +0000 2018,0.0,0.777,0.223,BBC
0.0,Sun Jul 08 08:12:00 +0000 2018,0.0,1.0,0.0,BBC
0.4019,Fri Jul 06 22:22:55 +0000 2018,0.0,0.847,0.153,CBS
0.7777,Fri Jul 06 18:26:37 +0000 2018,0.0,0.657,0.343,CBS
0.3612,Thu Jul 05 21:12:17 +0000 2018,0.0,0.898,0.102,CBS
0.3182,Mon Jul 02 21:13:11 +0000 2018,0.0,0.892,0.108,CBS
0.0,Mon Jul 02 20:47:32 +0000 2018,0.0,1.0,0.0,CBS
0.0,Mon Jul 02 17:27:06 +0000 2018,0.0,1.0,0.0,CBS
0.5411,Mon Jul 02 17:00:02 +0000 2018,0.0,0.741,0.259,CBS
0.0,Wed Jun 27 20:31:32 +0000 2018,0.0,1.0,0.0,CBS
0.7574,Wed Jun 27 14:00:01 +0000 2018,0.0,0.711,0.289,CBS
0.5574,Mon Jun 25 18:20:25 +0000 2018,0.0,0.796,0.204,CBS
0.1867,Fri Jun 22 21:19:06 +0000 2018,0.0,0.902,0.098,CBS
0.4199,Fri Jun 22 18:33:53 +0000 2018,0.0,0.811,0.189,CBS
0.4926,Thu Jun 21 23:29:50 +0000 2018,0.0,0.758,0.242,CBS
0.3555,Wed Jun 20 00:39:01 +0000 2018,0.136,0.642,0.222,CBS
0.0,Mon Jun 18 20:27:50 +0000 2018,0.0,1.0,0.0,CBS
0.0,Mon Jun 18 15:00:46 +0000 2018,0.0,1.0,0.0,CBS
0.9392,Sun Jun 17 13:00:01 +0000 2018,0.0,0.507,0.493,CBS
0.3595,Fri Jun 15 18:48:29 +0000 2018,0.0,0.872,0.128,CBS
-0.296,Thu Jun 14 17:30:00 +0000 2018,0.167,0.833,0.0,CBS
0.1779,Thu Jun 14 16:19:32 +0000 2018,0.12,0.734,0.147,CBS
0.5106,Sun Jul 08 19:48:49 +0000 2018,0.0,0.837,0.163,fox
